VFD_Type_Nr.,Sell_Price,Material_Cost_EUR,Net_Profit_EUR,Labour_Time_Unit_minutes,Total_Demand_Units
1785,60,24,36,19,66
1328,80,23,57,17,45
1927,128,18,110,10,55
1719,137,21,116,11,53
1849,108,23,85,20,70
1149,92,15,77,15,65
1484,119,17,102,19,60
1565,79,22,57,19,66
1435,104,24,80,13,40
1868,145,19,126,20,43
1329,60,17,43,21,45
1040,138,21,117,19,40
1035,128,21,107,16,50
1026,80,25,55,10,48
1106,52,16,36,21,67
1710,101,16,85,16,66
1635,61,22,39,17,50
1638,73,22,51,17,68
1881,102,18,84,17,57
1680,58,18,40,18,41
1424,90,22,68,16,44
1308,105,22,83,25,66
